"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BAT1";"Battery_Holder_Coin_2032_BS-7";1;"BS-7";;;
2;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"10uF";;;
3;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"100uF";;;
4;"D1,D2";"LED_3mm_Radial";2;"RED";;;
5;"Q1";"TO-92-3";1;"2N3904";;;
6;"R1,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"22k";;;
7;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330k";;;
8;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100k";;;
9;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
10;"R6,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"100";;;
11;"S1";"Switch_Slide_11.6x4mm_EG1218";1;"EG1218";;;
12;"U1";"ICM7555-PDIP";1;"7555";;;
